method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
cardinality,50,0.4,= 126.61 + 5319.10 + 12.93 + 7.58,126.60666275024414,5319.096801280975,12.929044246673584,7.583206415176392,3,335.04754304885864,387.9841887950897,1.1579974151265797,103/200
cardinality,400,0.4,= 220.42 + 48363.16 + 4.12 + 9.81,220.41644072532654,48363.15571951866,4.122844696044922,9.813522100448608,4,233.95758867263797,387.8156697750092,1.6576323596737659,149/200
csv,50,0.4,= 95.06 + 1898.35 + 2.28 + 7.53,95.05911207199097,1898.354897737503,2.2767271995544434,7.530078649520874,1,194.0219509601593,552.9882109165192,2.850132205041431,193/200
csv,400,0.6,= 196.75 + 22527.47 + 2.23 + 8.76,196.75093960762024,22527.468185901642,2.2310304641723633,8.755253791809082,2,181.2046253681183,546.1353051662445,3.013914816229262,196/200
kepler,50,0.0,= 140.54 + 12709.43 + 4.90 + 7.47,140.54334712028503,12709.432803869247,4.904392719268799,7.4745423793792725,2,550.6075716018677,835.4089021682739,1.5172492084295925,199/200
kepler,400,0.4,= 236.00 + 90390.30 + 6.00 + 9.64,236.00418329238892,90390.29909586906,5.99834418296814,9.642486333847046,3,525.7638025283813,836.3773059844971,1.5907852574908834,199/200
