method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
cardinality,50,0.0,= 249.33 + 8774.80 + 19.93 + 9.16,249.33349871635437,8774.800678730011,19.933768272399902,9.158064842224121,5,166.3072907924652,756.7291486263275,4.550186254736417,150/200
cardinality,400,0.2,= 540.46 + 87423.67 + 13.23 + 11.02,540.4646089076996,87423.66785979271,13.231226682662964,11.01681113243103,5,163.14257264137268,754.9475932121277,4.627532721772675,151/200
csv,50,0.0,= 241.74 + 7611.36 + 2.88 + 9.20,241.73920011520386,7611.362182378769,2.880201816558838,9.196285724639893,1,116.81721925735474,1095.3334248065948,9.376472336612595,200/200
csv,400,0.0,= 469.34 + 51560.75 + 3.03 + 10.51,469.3357312679291,51560.746706962585,3.033464193344116,10.507072448730469,1,115.82762122154236,1087.832750082016,9.39182501211286,200/200
kepler,50,0.4,= 233.71 + 7073.11 + 3.40 + 8.72,233.71383595466614,7073.10634803772,3.395735740661621,8.723092555999756,4,133.12633752822876,1052.6564967632294,7.907199404024909,186/200
kepler,400,0.0,= 460.73 + 73779.22 + 4.88 + 11.07,460.7320568561554,73779.22028779984,4.881606101989746,11.07273244857788,4,125.47730088233948,1053.6044824123385,8.396773559867272,191/200
